W01D,None,{'station': 'W01D', 'az': 115.505, 'dist': '52.3765', 'pga': 0.658, 'date': '2011-12-04', 'time': '18:52:51'}
W01F,None,{'station': 'W01F', 'az': 170.511, 'dist': '91.5096', 'pga': 0.419, 'date': '2011-12-04', 'time': '18:52:51'}
W020,None,{'station': 'W020', 'az': 163.843, 'dist': '81.634', 'pga': 0.419, 'date': '2011-12-04', 'time': '18:52:51'}
W021,None,{'station': 'W021', 'az': 129.797, 'dist': '57.778', 'pga': 0.419, 'date': '2011-12-04', 'time': '18:52:51'}
W042,None,{'station': 'W042', 'az': 37.704, 'dist': '106.921', 'pga': 0.419, 'date': '2011-12-04', 'time': '18:52:51'}
W059,None,{'station': 'W059', 'az': 203.575, 'dist': '119.589', 'pga': 0.479, 'date': '2011-12-04', 'time': '18:52:51'}
W072,None,{'station': 'W072', 'az': 240.735, 'dist': '12.8213', 'pga': 8.434, 'date': '2011-12-04', 'time': '18:52:51'}
W077,None,{'station': 'W077', 'az': 239.009, 'dist': '46.7172', 'pga': 0.658, 'date': '2011-12-04', 'time': '18:52:51'}
W078,None,{'station': 'W078', 'az': 217.026, 'dist': '26.693', 'pga': 3.23, 'date': '2011-12-04', 'time': '18:52:51'}
W079,None,{'station': 'W079', 'az': 243.792, 'dist': '23.947', 'pga': 2.452, 'date': '2011-12-04', 'time': '18:52:51'}
W07E,None,{'station': 'W07E', 'az': 263.136, 'dist': '40.8027', 'pga': 0.479, 'date': '2011-12-04', 'time': '18:52:51'}
W07F,None,{'station': 'W07F', 'az': 216.282, 'dist': '9.55396', 'pga': 19.14, 'date': '2011-12-04', 'time': '18:52:51'}
W083,None,{'station': 'W083', 'az': 46.9893, 'dist': '16.2006', 'pga': 10.647, 'date': '2011-12-04', 'time': '18:52:51'}
W084,None,{'station': 'W084', 'az': 232.086, 'dist': '17.3114', 'pga': 3.29, 'date': '2011-12-04', 'time': '18:52:51'}
W087,None,{'station': 'W087', 'az': 206.534, 'dist': '48.6218', 'pga': 0.359, 'date': '2011-12-04', 'time': '18:52:51'}
